Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-09-30,36.1,37.03,36.075,36.93,2130861.0,0.0,1.0,36.1,37.03,36.075,36.93,2130861.0
2016-10-31,31.96,32.18,31.79,32.06,2159715.0,0.0,1.0,31.96,32.18,31.79,32.06,2159715.0
2016-11-30,30.44,30.44,30.07,30.1,1178744.0,0.0,1.0,30.44,30.44,30.07,30.1,1178744.0
2016-12-31,30.34,30.34,30.025,30.12,1800395.0,0.0,1.0,30.34,30.34,30.025,30.12,1800395.0
2017-01-31,32.84,33.39,32.57,33.26,2207430.0,0.0,1.0,32.84,33.39,32.57,33.26,2207430.0
2017-02-28,37.27,37.395,37.05,37.35,2678637.0,0.0,1.0,37.27,37.395,37.05,37.35,2678637.0
2017-03-31,37.77,38.49,37.77,38.35,1298345.0,0.0,1.0,37.77,38.49,37.77,38.35,1298345.0
2017-04-30,39.07,39.97,38.63,39.0,4585376.0,0.0,1.0,39.07,39.97,38.63,39.0,4585376.0
2017-05-31,39.22,39.4,38.85,39.34,1768235.0,0.0,1.0,39.22,39.4,38.85,39.34,1768235.0
2017-06-30,37.77,38.03,37.42,37.44,1277040.0,0.0,1.0,37.77,38.03,37.42,37.44,1277040.0
2017-07-31,37.6,37.7453,36.8,36.91,2304398.0,0.0,1.0,37.6,37.7453,36.8,36.91,2304398.0
2017-08-31,37.95,38.42,37.91,38.2,1311588.0,0.0,1.0,37.95,38.42,37.91,38.2,1311588.0
2017-09-30,35.86,36.2,35.44,35.84,3263471.0,0.0,1.0,35.86,36.2,35.44,35.84,3263471.0
2017-10-31,39.64,39.894,39.3,39.41,1419491.0,0.0,1.0,39.64,39.894,39.3,39.41,1419491.0
2017-11-30,41.77,42.175,41.33,42.06,1345060.0,0.0,1.0,41.77,42.175,41.33,42.06,1345060.0
2017-12-31,44.11,44.19,43.69,43.69,882735.0,0.0,1.0,44.11,44.19,43.69,43.69,882735.0
2018-01-31,45.39,46.4,45.36,46.04,1426773.0,0.0,1.0,45.39,46.4,45.36,46.04,1426773.0
2018-02-28,49.82,51.0,49.58,50.47,1692279.0,0.0,1.0,49.82,51.0,49.58,50.47,1692279.0
2018-03-31,55.12,55.34,52.97,53.33,1315077.0,0.0,1.0,55.12,55.34,52.97,53.33,1315077.0
